target,Cases 1 days before,Recovered 1 days before,Deaths 1 days before,Cases 2 days before,Recovered 2 days before,Deaths 2 days before,Cases 3 days before,Recovered 3 days before,Deaths 3 days before,Cases 4 days before,Recovered 4 days before,Deaths 4 days before,Cases 5 days before,Recovered 5 days before,Deaths 5 days before,Cases 6 days before,Recovered 6 days before,Deaths 6 days before,Cases 7 days before,Recovered 7 days before,Deaths 7 days before
"[1, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[4, 0, 0]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[1, 0, 0]",4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[5, 0, 0]",1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"[6, 0, 0]",5,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"[5, 0, 0]",6,0,0,5,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0
"[9, 0, 0]",5,0,0,6,0,0,5,0,0,1,0,0,4,0,0,0,0,0,1,0,0
"[20, 0, 1]",9,0,0,5,0,0,6,0,0,5,0,0,1,0,0,4,0,0,0,0,0
"[17, 0, 1]",20,0,1,9,0,0,5,0,0,6,0,0,5,0,0,1,0,0,4,0,0
"[36, 0, 1]",17,0,1,20,0,1,9,0,0,5,0,0,6,0,0,5,0,0,1,0,0
"[21, 0, 0]",36,0,1,17,0,1,20,0,1,9,0,0,5,0,0,6,0,0,5,0,0
"[52, 0, 1]",21,0,0,36,0,1,17,0,1,20,0,1,9,0,0,5,0,0,6,0,0
"[61, 1, 1]",52,0,1,21,0,0,36,0,1,17,0,1,20,0,1,9,0,0,5,0,0
"[49, 0, 0]",61,1,1,52,0,1,21,0,0,36,0,1,17,0,1,20,0,1,9,0,0
"[68, 0, 0]",49,0,0,61,1,1,52,0,1,21,0,0,36,0,1,17,0,1,20,0,1
"[70, 2, 0]",68,0,0,49,0,0,61,1,1,52,0,1,21,0,0,36,0,1,17,0,1
"[111, 0, 0]",70,2,0,68,0,0,49,0,0,61,1,1,52,0,1,21,0,0,36,0,1
"[98, 0, 2]",111,0,0,70,2,0,68,0,0,49,0,0,61,1,1,52,0,1,21,0,0
"[116, 0, 1]",98,0,2,111,0,0,70,2,0,68,0,0,49,0,0,61,1,1,52,0,1
"[152, 1, 2]",116,0,1,98,0,2,111,0,0,70,2,0,68,0,0,49,0,0,61,1,1
"[150, 6, 3]",152,1,2,116,0,1,98,0,2,111,0,0,70,2,0,68,0,0,49,0,0
"[170, 9, 3]",150,6,3,152,1,2,116,0,1,98,0,2,111,0,0,70,2,0,68,0,0
"[168, 1, 0]",170,9,3,150,6,3,152,1,2,116,0,1,98,0,2,111,0,0,70,2,0
"[249, 3, 2]",168,1,0,170,9,3,150,6,3,152,1,2,116,0,1,98,0,2,111,0,0
"[224, 5, 4]",249,3,2,168,1,0,170,9,3,150,6,3,152,1,2,116,0,1,98,0,2
"[193, 7, 9]",224,5,4,249,3,2,168,1,0,170,9,3,150,6,3,152,1,2,116,0,1
"[256, 0, 2]",193,7,9,224,5,4,249,3,2,168,1,0,170,9,3,150,6,3,152,1,2
"[243, 12, 10]",256,0,2,193,7,9,224,5,4,249,3,2,168,1,0,170,9,3,150,6,3
"[392, 0, 14]",243,12,10,256,0,2,193,7,9,224,5,4,249,3,2,168,1,0,170,9,3
"[437, 0, 14]",392,0,14,243,12,10,256,0,2,193,7,9,224,5,4,249,3,2,168,1,0
"[244, 69, 8]",437,0,14,392,0,14,243,12,10,256,0,2,193,7,9,224,5,4,249,3,2
"[475, 18, 15]",244,69,8,437,0,14,392,0,14,243,12,10,256,0,2,193,7,9,224,5,4
"[311, 28, 13]",475,18,15,244,69,8,437,0,14,392,0,14,243,12,10,256,0,2,193,7,9
"[435, 29, 22]",311,28,13,475,18,15,244,69,8,437,0,14,392,0,14,243,12,10,256,0,2
"[357, 31, 29]",435,29,22,311,28,13,475,18,15,244,69,8,437,0,14,392,0,14,243,12,10
"[370, 62, 16]",357,31,29,435,29,22,311,28,13,475,18,15,244,69,8,437,0,14,392,0,14
"[380, 34, 7]",370,62,16,357,31,29,435,29,22,311,28,13,475,18,15,244,69,8,437,0,14
"[401, 57, 27]",380,34,7,370,62,16,357,31,29,435,29,22,311,28,13,475,18,15,244,69,8
"[318, 64, 24]",401,57,27,380,34,7,370,62,16,357,31,29,435,29,22,311,28,13,475,18,15
"[260, 48, 13]",318,64,24,401,57,27,380,34,7,370,62,16,357,31,29,435,29,22,311,28,13
"[268, 131, 18]",260,48,13,318,64,24,401,57,27,380,34,7,370,62,16,357,31,29,435,29,22
"[380, 50, 23]",268,131,18,260,48,13,318,64,24,401,57,27,380,34,7,370,62,16,357,31,29
"[336, 106, 28]",380,50,23,268,131,18,260,48,13,318,64,24,401,57,27,380,34,7,370,62,16
"[457, 92, 18]",336,106,28,380,50,23,268,131,18,260,48,13,318,64,24,401,57,27,380,34,7
"[334, 115, 15]",457,92,18,336,106,28,380,50,23,268,131,18,260,48,13,318,64,24,401,57,27
"[515, 59, 13]",334,115,15,457,92,18,336,106,28,380,50,23,268,131,18,260,48,13,318,64,24
"[306, 93, 20]",515,59,13,334,115,15,457,92,18,336,106,28,380,50,23,268,131,18,260,48,13
"[263, 164, 20]",306,93,20,515,59,13,334,115,15,457,92,18,336,106,28,380,50,23,268,131,18
"[313, 216, 25]",263,164,20,306,93,20,515,59,13,334,115,15,457,92,18,336,106,28,380,50,23
"[342, 227, 28]",313,216,25,263,164,20,306,93,20,515,59,13,334,115,15,457,92,18,336,106,28
"[381, 204, 40]",342,227,28,313,216,25,263,164,20,306,93,20,515,59,13,334,115,15,457,92,18
"[381, 182, 30]",381,204,40,342,227,28,313,216,25,263,164,20,306,93,20,515,59,13,334,115,15
"[344, 139, 12]",381,182,30,381,204,40,342,227,28,313,216,25,263,164,20,306,93,20,515,59,13
"[285, 201, 27]",344,139,12,381,182,30,381,204,40,342,227,28,313,216,25,263,164,20,306,93,20
"[316, 189, 34]",285,201,27,344,139,12,381,182,30,381,204,40,342,227,28,313,216,25,263,164,20
"[422, 370, 28]",316,189,34,285,201,27,344,139,12,381,182,30,381,204,40,342,227,28,313,216,25
"[300, 211, 20]",422,370,28,316,189,34,285,201,27,344,139,12,381,182,30,381,204,40,342,227,28
"[228, 255, 7]",300,211,20,422,370,28,316,189,34,285,201,27,344,139,12,381,182,30,381,204,40
"[270, 271, 12]",228,255,7,300,211,20,422,370,28,316,189,34,285,201,27,344,139,12,381,182,30
"[318, 183, 15]",270,271,12,228,255,7,300,211,20,422,370,28,316,189,34,285,201,27,344,139,12
"[313, 150, 19]",318,183,15,270,271,12,228,255,7,300,211,20,422,370,28,316,189,34,285,201,27
"[406, 185, 18]",313,150,19,318,183,15,270,271,12,228,255,7,300,211,20,422,370,28,316,189,34
"[311, 375, 18]",406,185,18,313,150,19,318,183,15,270,271,12,228,255,7,300,211,20,422,370,28
"[303, 207, 22]",311,375,18,406,185,18,313,150,19,318,183,15,270,271,12,228,255,7,300,211,20
"[337, 322, 21]",303,207,22,311,375,18,406,185,18,313,150,19,318,183,15,270,271,12,228,255,7
"[288, 253, 9]",337,322,21,303,207,22,311,375,18,406,185,18,313,150,19,318,183,15,270,271,12
"[345, 261, 15]",288,253,9,337,322,21,303,207,22,311,375,18,406,185,18,313,150,19,318,183,15
"[330, 118, 11]",345,261,15,288,253,9,337,322,21,303,207,22,311,375,18,406,185,18,313,150,19
"[556, 315, 27]",330,118,11,345,261,15,288,253,9,337,322,21,303,207,22,311,375,18,406,185,18
"[322, 279, 23]",556,315,27,330,118,11,345,261,15,288,253,9,337,322,21,303,207,22,311,375,18
"[411, 286, 22]",322,279,23,556,315,27,330,118,11,345,261,15,288,253,9,337,322,21,303,207,22
"[401, 222, 24]",411,286,22,322,279,23,556,315,27,330,118,11,345,261,15,288,253,9,337,322,21
"[241, 257, 8]",401,222,24,411,286,22,322,279,23,556,315,27,330,118,11,345,261,15,288,253,9
"[272, 276, 10]",241,257,8,401,222,24,411,286,22,322,279,23,556,315,27,330,118,11,345,261,15
"[356, 177, 11]",272,276,10,241,257,8,401,222,24,411,286,22,322,279,23,556,315,27,330,118,11
