,Cases,Recovered,Deaths,Cases-1,Recovered-1,Deaths-1,Cases-2,Recovered-2,Deaths-2,Cases-3,Recovered-3,Deaths-3,Cases-4,Recovered-4,Deaths-4,Cases-5,Recovered-5,Deaths-5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,5,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0
7,6,0,0,5,0,0,1,0,0,4,0,0,0,0,0,1,0,0
8,5,0,0,6,0,0,5,0,0,1,0,0,4,0,0,0,0,0
9,9,0,0,5,0,0,6,0,0,5,0,0,1,0,0,4,0,0
10,20,0,1,9,0,0,5,0,0,6,0,0,5,0,0,1,0,0
11,17,0,1,20,0,1,9,0,0,5,0,0,6,0,0,5,0,0
12,36,0,1,17,0,1,20,0,1,9,0,0,5,0,0,6,0,0
13,21,0,0,36,0,1,17,0,1,20,0,1,9,0,0,5,0,0
14,52,0,1,21,0,0,36,0,1,17,0,1,20,0,1,9,0,0
15,61,1,1,52,0,1,21,0,0,36,0,1,17,0,1,20,0,1
16,49,0,0,61,1,1,52,0,1,21,0,0,36,0,1,17,0,1
17,68,0,0,49,0,0,61,1,1,52,0,1,21,0,0,36,0,1
18,70,2,0,68,0,0,49,0,0,61,1,1,52,0,1,21,0,0
19,111,0,0,70,2,0,68,0,0,49,0,0,61,1,1,52,0,1
20,98,0,2,111,0,0,70,2,0,68,0,0,49,0,0,61,1,1
21,116,0,1,98,0,2,111,0,0,70,2,0,68,0,0,49,0,0
22,152,1,2,116,0,1,98,0,2,111,0,0,70,2,0,68,0,0
23,150,6,3,152,1,2,116,0,1,98,0,2,111,0,0,70,2,0
24,170,9,3,150,6,3,152,1,2,116,0,1,98,0,2,111,0,0
25,168,1,0,170,9,3,150,6,3,152,1,2,116,0,1,98,0,2
26,249,3,2,168,1,0,170,9,3,150,6,3,152,1,2,116,0,1
27,224,5,4,249,3,2,168,1,0,170,9,3,150,6,3,152,1,2
28,193,7,9,224,5,4,249,3,2,168,1,0,170,9,3,150,6,3
29,256,0,2,193,7,9,224,5,4,249,3,2,168,1,0,170,9,3
30,243,12,10,256,0,2,193,7,9,224,5,4,249,3,2,168,1,0
31,392,0,14,243,12,10,256,0,2,193,7,9,224,5,4,249,3,2
32,437,0,14,392,0,14,243,12,10,256,0,2,193,7,9,224,5,4
33,244,69,8,437,0,14,392,0,14,243,12,10,256,0,2,193,7,9
34,475,18,15,244,69,8,437,0,14,392,0,14,243,12,10,256,0,2
35,311,28,13,475,18,15,244,69,8,437,0,14,392,0,14,243,12,10
36,435,29,22,311,28,13,475,18,15,244,69,8,437,0,14,392,0,14
37,357,31,29,435,29,22,311,28,13,475,18,15,244,69,8,437,0,14
38,370,62,16,357,31,29,435,29,22,311,28,13,475,18,15,244,69,8
39,380,34,7,370,62,16,357,31,29,435,29,22,311,28,13,475,18,15
