,Date,Suspected[a],Quarantined[b],Monitored,Tested (total)[c],Cases,Confirmed,Active,Recovered,Deaths
0,1,12,13,1000,0,0,0,0,0,0
1,2,47,55,1570,0,0,0,0,0,0
2,3,106,146,3000,0,0,0,0,0,0
3,4,0,0,0,307,0,0,0,0,0
4,5,0,0,0,0,0,0,0,0,0
5,6,121,237,3600,0,0,0,0,0,0
6,7,68,316,4459,559,0,0,0,0,0
7,8,65,349,4540,584,1,1,1,0,0
8,9,92,490,5647,676,0,1,1,0,0
9,10,128,1299,6184,855,4,5,5,0,0
10,11,146,1548,6409,0,1,6,6,0,0
11,12,168,932,7122,1154,5,11,11,0,0
12,13,467,1014,7110,1384,6,17,17,0,0
13,14,220,1055,9366,1630,5,22,22,0,0
14,15,317,1193,11524,2024,9,31,31,0,0
15,16,384,2736,14841,2234,20,51,50,0,1[33]
16,17,521,3151,17784,2889,17,68,66,0,1[39]
17,18,526,4413,20340,4414,36,104,101,0,1[43]
18,19,768,7535,25816,5493,21,125,122,0,0
19,20,734,10050,30129,0,52,177,173,0,1[50]
20,21,833,37510,35853,7899,61,238,232,1[52],1[53]
21,22,923,57185,40110,9515,49,287,281,0,0
22,23,871,76764,48660,11196,68,355,349,0,0
23,24,898,109235,53117,13072,70,425,417,2[64][65],0[66]
24,25,1047,128920,56623,15084,111,536,528,0,0
25,26,1084,128980,58826,17607,98,634,624,0,2[73][74]
26,27,1138,150746,51142,20127,116,749,738,0,1[78]
27,28,1479,167040,53426,22898,152,901,883,1[82],2[83][84]
28,29,1615,209208,56930,26244,150,1051,1025,6[89][90],3[91]
29,30,1606,234382,59081,29564,170,1221,1186,9[95][65],3[96]
30,31,1696,256156,58306,34067,168,1389,1353,1[65],0
31,32,1719,265303,56585,38674,249,1638,1597,3[104],2[105][106]
32,33,1879,269307,52612,42783,224,1862,1812,5[111],4[112][113][114]
33,34,1900,270314,52370,46607,193,2055,1989,7[118],9[119][120]
34,35,1924,270314,50804,51419,256,2311,2243,0,2[124][125]
35,36,0,0,0,55801,243,2554,2464,12[129],10[130][131][132]
